Urchin ID,Size(mm),Wet weight(g),Tank #,SetTemp,Temperature(C),State(Barren/Kelp),Trial #,Kelp start weight,Kelp end weight,Time in,Time out,Date in,Date out,Time series
K40,41.8,23.926,10A,21,19.65422,K,5,3.4149,0.9187,4:34,4:08,9/6/22,9/7/22,2
K41,40.1,21.267,9A,12,13.71738,K,5,3.2379,1.6262,4:37,4:09,9/6/22,9/7/22,2
K42,31.2,11.838,3B,15,16.23691,K,5,3.9857,2.5552,4:38,4:10,9/6/22,9/7/22,2
K43,41,24.166,2A,18,18.30456,K,5,3.7026,2.4027,4:39,4:11,9/6/22,9/7/22,2
K44,33,13.05,8B,21,19.5538978,K,5,3.3139,1.431,4:40,4:12,9/6/22,9/7/22,2
K45,35.6,18.13,7A,12,18.1071654,K,5,4.0015,2.1543,4:45,4:13,9/6/22,9/7/22,2
K46,41.4,22.769,11B,15,15.7544,K,5,2.6801,0,4:46,4:14,9/6/22,9/7/22,2
K47,30,12.593,4B,18,18.1071654,K,5,3.2083,1.7836,4:47,4:15,9/6/22,9/7/22,2
K48,44,27.123,12A,21,19.4207165,K,5,4.0501,1.8282,4:48,4:16,9/6/22,9/7/22,2
B37,41.8,23.57,5A,12,13.63611,B,6,2.4416,2.5547,9:55,9:58,9/10/22,9/11/22,3
B38,36.4,20.444,1B,15,15.25902,B,6,5.5146,3.6037,9:58,9:59,9/10/22,9/11/22,3
B39,36.6,15.952,6A,18,18.06676,B,6,2.7925,0.724,9:59,10:00,9/10/22,9/11/22,3
B40,37.9,21.482,10B,21,19.58202,B,6,4.4698,2.2563,10:00,10:00,9/10/22,9/11/22,3
B41,35.2,17.753,9B,12,13.6609677,B,6,6.3788,4.1176,10:03,10:03,9/10/22,9/11/22,3
B42,33.5,14.009,3A,15,15.36302,B,6,2.4817,0.9818,10:04,10:05,9/10/22,9/11/22,3
B43,42,26.205,2B,18,18.0714,B,6,3.4419,1.3955,10:05,10:06,9/10/22,9/11/22,3
B44,32.4,13.486,8A,21,19.52832,B,6,3.1757,1.4567,10:07,10:07,9/10/22,9/11/22,3
B45,36.8,17.152,7B,12,13.6316452,B,6,2.4965,0.696,10:10,10:10,9/10/22,9/11/22,3
B46(B25),did not measure,did not measure,11A,15,15.210379,B,6,2.6177,1.4204,10:11,10:11,9/10/22,9/11/22,3
B47(B46),37,19.554,4A,18,17.9375806,B,6,3.9947,1.5431,10:13,10:12,9/10/22,9/11/22,3
B48(B47),32,13.332,12B,21,19.4520323,B,6,3.5022,1.1567,10:14,10:13,9/10/22,9/11/22,3
K37,37.7,21.562,5B,12,13.80274,K,6,2.9776,0.434,10:16,10:17,9/10/22,9/11/22,3
K38,41.6,23.49,1A,15,15.2351613,K,6,3.1089,1.0894,10:17,10:18,9/10/22,9/11/22,3
K39,37.3,17.309,6B,18,18.10124,K,6,2.7595,0.7992,10:18,10:19,9/10/22,9/11/22,3
K40,41.8,23.926,10A,21,19.49219,K,6,2.7992,0.3507,10:19,10:20,9/10/22,9/11/22,3
K41,40.1,21.267,9A,12,13.76558,K,6,3.4005,1.1668,10:24,10:23,9/10/22,9/11/22,3
K42,31.2,11.838,3B,15,15.38767,K,6,2.7828,1.2522,10:25,10:24,9/10/22,9/11/22,3
K43,41,24.166,2A,18,18.06366,K,6,2.597,0.5139,10:26,10:25,9/10/22,9/11/22,3
K44,33,13.05,8B,21,19.3218306,K,6,3.0812,1.6761,10:27,10:26,9/10/22,9/11/22,3
K45,35.6,18.13,7A,12,17.9066935,K,6,2.4591,0.363,10:32,10:31,9/10/22,9/11/22,3
K46,41.4,22.769,11B,15,15.30141,K,6,3.1114,0,10:33,10:31,9/10/22,9/11/22,3
K47,30,12.593,4B,18,17.9066935,K,6,2.5154,0.9285,10:34,10:32,9/10/22,9/11/22,3
K48,44,27.123,12A,21,19.4079032,K,6,2.9644,0.3704,10:35,10:33,9/10/22,9/11/22,3
